id	title	description	link	image_link	additional_image_link	availability	price	sale_price	cost_of_goods_sold	brand	gtin	mpn	identifier_exists	product_type	product_weight	shipping_weight	google_product_category	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	condition	adult	age_group	gender	color	material	pattern	size	certification	item_group_id	unit_pricing_measure
HAIBIKE-451641xx-2021	HAIBIKE ALLMTN 5 BLACK/TITAN ELEKTROMOS ÖSSZTELESZKÓPOS ENDURO KERÉKPÁR	Az AllMtn 5 segítségével felkészült minden kihívásra a hegyen. A 4. generációs erősebb Bosch Performance CX motor biztosítja a teljes ePerformance-t felfelé, és az integrált 625 Wh-s akkumulátornak köszönhetően garantálja, hogy hosszú mászások esetén sem fogy el a lélegzete. A 29 "-es első kerék pre …(trimmed for fixture)	https://speedbike.hu/haibike-allmtn-5-blacktitan-elektromos-osszteleszkopos-enduro-kerekpar?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/allmtn5.JPG	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021.png,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-1.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-2.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-3.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-4.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-5.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-6.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-7.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/HAIBIKE%20HIBRID%202021/Haibike%20AllMtn%205%20F%C3%A9rfi%20Elektromos%20%C3%96sszteleszk%C3%B3pos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-8.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH%202021/BOSCH%20PERF%20CX%20-%201.JPG	in_stock	2269000 HUF	1499990 HUF		HAIBIKE			No	Termékkategóriák > E-BIKE > Összteleszkópos E-BIKE	45.00 kg	45.00 kg		E-BIKE	Összteleszkópos E-BIKE	ŐSZI AKCIÓ!!!			New	No								HAIBIKE-451641xx-2021	
021323/2021	KTM MACINA TEAM 272 GLORIOUS DEEPPURPEL (SUNSET) NŐI ELEKTROMOS MTB KERÉKPÁR	A KTM Macina Team 272 Glorious  segítségével a 27,5 hüvelykes, kifejezetten nőknek tervezett keményfarok keret és a Bosch hajtómű szív és lélek. A váz robusztussága és az erőteljes Performance Line CX technológia valóra váltja az ösvény kalandokat. Nagy teljesítményű alkatrészekkel és sportos, elegá …(trimmed for fixture)	https://speedbike.hu/ktm-macina-team-272-glorious-deeppurpel-sunset-noi-elektromos-mtb-kerekpar?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/KTM%20MAC%202021/KTM%20MACINA%20TEAM%20272%20GLORIOUS%20N%C5%91i%20Elektromos%20MTB%20Ker%C3%A9kp%C3%A1r%202021.jpg	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/KTM%20MAC%202021/KTM%20MACINA%20TEAM%20272%20F%C3%A9rfi%20Elektromos%20MTB%20Ker%C3%A9kp%C3%A1r%202021-1.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/KTM%20MAC%202021/KTM%20MACINA%20M%C3%89RETT%C3%81BLA%202021.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH%202021/BOSCH%20PERF%20CX%20-%201.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH%202021/BOSCH%20PERF%20CX%20-%202.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH%202021/BOSCH%20PERF%20CX%20-%203.png,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH%202021/BOSCH%20PT%20625%20-%201.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH%202021/BOSCH%20INTUVIA.JPG	in_stock	1334600 HUF	1019990 HUF		KTM			No	Termékkategóriák > E-BIKE > MTB E-BIKE	45.00 kg	45.00 kg		Termékkategóriák	E-BIKE	MTB E-BIKE	ŐSZI AKCIÓ!!!		New	No								021323/2021	
121210	Cube Trike Flatbed Hybrid 750  swampgrey´n´reflex 24" / 20": ONE SIZE elektromos cargo kerékpár - 2027	750Wh CUBE elektromos cargo kerékpár - e-bike24" / 20": ONE SIZE méretbenHa valamit szeretnél szállítani, amihez egyedi kialakítású megoldásra van szükség, a Trike Flatbed Hybrid lehet a válasz. Az alapként szolgáló plató akár 60kg terhet is képes szállítani, az pedig már rajtad múlik, hogy mit épít …(trimmed for fixture)	https://speedbike.hu/cube-trike-flatbed-hybrid-750-swampgreynreflex-24-20-one-size-elektromos-cargo-kerekpar-2027?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/product/cube2027/121210_S_00.webp		in_stock	2149990 HUF			CUBE	4054571500601	1212100578	Yes	Termékkategóriák > E-BIKE > Cargo E-BIKE	45.00 kg	45.00 kg		E-BIKE	Cargo E-BIKE				New	No								121210	
KTM-0243111XX-2025	KTM MACINA RACE SX LFC MOONLITE MEADOW (GREY+BLACK) 2025 FÉRFI ELEKTROMOS MTB KERÉKPÁR	A KTM Macina Race SX LFC az új mindennapi kerékpárod extra szórakozással. A lámpával, állvánnyal, sárvédőkkel és masszív csomagtartóval felszerelve tökéletesen felkészült a mindennapi élet minden kihívására. A könnyű Bosch Performance Line SX motor a teljesen integrált 400 Wh-s akkumulátorral különö …(trimmed for fixture)	https://speedbike.hu/ktm-macina-race-sx-lfc-moonlite-meadow-greyblack-2025-ferfi-elektromos-mtb-kerekpar?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/KTM-MAC-SX-2025/KTMMACINARACESXLFCmoonlitemeadowgreyblack2025.JPG	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/KTM-MACINA-2023/KTMRAHMEN2023.GIF,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/KTM-MACINA-2024/KTMMACINARACESX20flamingblack2024-1.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH2024/BOSCH-SX-MOTOR.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH2024/BOSCH-SX-MOTOR-1.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH2024/BOSCH-SX-MOTOR-2.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH2024/BOSCH-SX-MOTOR-3.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH2024/BOSCH-SX-MOTOR-4.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH2024/BOSCH-SX-MOTOR-5.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH2024/BOSCH-SX-MOTOR-6.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/BOSCH2024/BoschSmartSystemCompactTube400.JPG	in_stock	1414000 HUF			KTM			No	Termékkategóriák > E-BIKE > MTB E-BIKE	45.00 kg	45.00 kg		Termékkategóriák	E-BIKE	MTB E-BIKE			New	No								KTM-0243111XX-2025	
2103714104	GIANT LIV AMITI E+ 3 2021 NŐI ELEKTROMOS TREKKING KERÉKPÁR		https://speedbike.hu/giant-liv-amiti-e-3-2021-noi-elektromos-trekking-kerekpar?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/amitie%2B3.jpg	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/thrivet.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/SYNC%20SYSTEM%202021/SYNCDRIVE%20CORE.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/SYNC%20SYSTEM%202021/SYNCDRIVE-1.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/SYNC%20SYSTEM%202021/SYNC%20SMART%20ASSIST.JPG	in_stock	999890 HUF	899900 HUF		LIV			No	Termékkategóriák > E-BIKE > Trekking E-BIKE > Női	45.00 kg	45.00 kg		Termékkategóriák	Női	E-BIKE	Trekking E-BIKE	ŐSZI AKCIÓ!!!	New	No								2103714104	
GIANT-230330310X-2023	GIANT TRANCE X ADVANCED E+ ELITE 0 2023 FÉRFI ELEKTROMOS ÖSSZTELESZKÓPOS MTB KERÉKPÁR	Gyorsítsa fel az emelkedőket, lebegjen a sziklakerteken, tapasztaljon több erőt, mozgékonyságot és irányíthatóságot ezzel a könnyű, teljes felfüggesztésű E-MTB-vel. Az új, ultravékony akkumulátor minimálisra csökkenti a súlyt, így olyan technikai utakon haladhat, amilyenekről mindig is álmodott.Könnyebb súlyAz új EnergyPak 400 akkumulátort ultravékonyra tervezték. Minden erőt megkap, de egy kisebb csomagban, amely tisztán integrálva van a kompozit keretkészlettel.Fejlett kormányról vezérlésA RideControl Ergo 3 távirányító a vadonatúj kompozit Giant Contact SLR integrált kormányhoz csatlakozik. A kezelőszerv a kormány mindkét oldalára felszerelhető, így testreszabhatja kezelőszerveit a tiszta, zsúfolt pilótafülke érdekében.Több erőA Yamahával közösen kifejlesztett új SyncDrive Pro motor erőteljes, 85 Nm nyomatékot ad ki, és mindössze 2,7 kg. Az eredmény gyorsabb gyorsulás és mászási képességek technikai pályákon.A vadonatúj kompozit keret állítható geometriával és új flip chip funkcióval rendelkezik. A SyncDrive Pro 2 motor 85 Nm nyomatékot ad le a zökkenőmentes teljesítménynövelés érdekében még alacsony sebességnél és műszaki utakon is. Az új kompozit Giant Contact SLR Trail integrált kormány karcsú kialakítással rendelkezik a precíziós terepvezetés érdekében. Két vezérlőközponttal rendelkezik, a felső csövön található RideControl Go multifunkcionális be-/kikapcsoló gombbal és az új RideControl Ergo 3 kormányra szerelt távirányítóval.FOX LIVE VALVE...	https://speedbike.hu/giant-trance-x-advanced-e-elite-0-2023-ferfi-elektromos-osszteleszkopos-mtb-kerekpar?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023.JPG	https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-1.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-2.JPG,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-3.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-4.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-5.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-6.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-7.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-8.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-9.jpg,https://speedbike2.cdn.shoprenter.hu/custom/speedbike2/image/cache/w1024h1024m00q100/GIANTHYB2024/GIANTTranceXAdvancedEElite02023-10.JPG	in_stock	5199900 HUF	3550000 HUF		GIANT			No	Termékkategóriák > E-BIKE > Összteleszkópos E-BIKE	45.00 kg	45.00 kg		Termékkategóriák	E-BIKE	Összteleszkópos E-BIKE	ŐSZI AKCIÓ!!!		New	No								GIANT-230330310X-2023	
